7.5,1.125,1.95037e-41,2.50681e-42,1.55285e-41
7.5,1.375,5.07723e-42,1.08416e-42,3.76335e-42
7.5,2,1.38456e-42,2.70219e-43,9.70789e-43
8.5,0.0375,1.37267e-42,1.36851e-43,9.66407e-43
8.5,0.1125,5.52199e-42,4.99104e-43,4.11096e-42
8.5,0.2,1.62285e-41,1.04404e-42,1.18628e-41
8.5,0.2875,1.88894e-41,1.3311e-42,1.4392e-41
8.5,0.3625,2.32123e-41,2.26122e-42,1.82076e-41
8.5,0.4375,2.54539e-41,2.23058e-42,2.04326e-41
8.5,0.5125,2.49112e-41,2.686e-42,1.94468e-41
8.5,0.625,4.02129e-41,2.92744e-42,2.99555e-41
8.5,0.775,2.57043e-41,3.13788e-42,1.95751e-41
8.5,0.925,1.43259e-41,1.45348e-42,1.05227e-41
8.5,1.125,8.8229e-42,1.12745e-42,6.60122e-42
8.5,1.375,2.118e-42,4.90008e-43,1.73195e-42
8.5,2,7.18903e-43,1.43738e-43,5.73485e-43
9.5,0.0375,6.22691e-43,1.45624e-43,4.0532e-43
9.5,0.1125,2.45161e-42,1.67994e-43,1.61079e-42
9.5,0.2,6.88846e-42,6.02948e-43,4.73653e-42
9.5,0.2875,7.65306e-42,7.00376e-43,5.69233e-42
9.5,0.3625,9.91936e-42,1.4549e-42,7.40935e-42
9.5,0.4375,1.07152e-41,1.18584e-42,8.15871e-42
9.5,0.5125,1.00505e-41,1.03472e-42,7.61316e-42
9.5,0.625,1.7817e-41,1.36468e-42,1.23554e-41
9.5,0.775,1.15868e-41,8.57159e-43,8.1764e-42
9.5,0.925,5.77902e-42,6.36722e-43,4.44128e-42
9.5,1.125,4.15762e-42,7.21082e-43,2.9256e-42
9.5,1.375,1.1133e-42,4.73714e-43,8.69981e-43
9.5,2,3.35473e-43,7.67026e-44,3.2771e-43
12.5,0.0375,7.09341e-43,3.03575e-43,4.46758e-43
12.5,0.1125,3.15526e-42,2.98932e-43,1.94374e-42
12.5,0.2,8.55473e-42,6.0225e-43,5.59106e-42
12.5,0.2875,9.51391e-42,7.44335e-43,6.74931e-42
12.5,0.3625,1.18952e-41,9.68555e-43,9.03577e-42
12.5,0.4375,1.32495e-41,1.27511e-42,9.82325e-42
12.5,0.5125,1.29908e-41,1.65019e-42,9.71811e-42
12.5,0.625,2.17393e-41,1.7176e-42,1.56035e-41
12.5,0.775,1.58395e-41,1.04605e-42,1.11843e-41
12.5,0.925,9.56074e-42,9.95268e-43,6.53406e-42
12.5,1.125,6.76282e-42,8.84036e-43,4.89335e-42
12.5,1.375,2.16215e-42,4.99554e-43,1.60733e-42
12.5,2,9.79524e-43,2.3352e-43,9.28922e-43
